Topic,Count,Name,Representation,Representative_Docs,top_words
31,202,31_rates_shortterm rates_low rates_lower rates,"['rates', 'shortterm rates', 'low rates', 'lower rates', 'shortterm', 'rates low', 'raise rates', 'rates think', 'raising rates', 'longerterm rates']","['We’ve kept interest rates close to zero, we’ve done two rounds of asset purchases, we have announced—today , in fact—a n extension of 9 of 29 the period over which we expect to see rates very low, and our maturity extension program is still ongoing, so we maintain a quite accommodative path of policy at this point.', 'So there has been—there have been downward revisions both to the Committee’s and to market participants’ estimates of the longer-run normal level of interest rates, which in turn reflects in some sense a view that, going out many years, aggregate demand globally is likely to be weakened by continuing low productivity growth and aging populations.', 'The changes—the financial market changes that you described, particularly the increase in stock prices, the increase in longer-term rates, and the strengthening of the dollar, suggest that many market participants anticipate expansionary fiscal policies that would raise interest rates somewhat in the United States relative to abroad and would cause a strengthening in the dollar.']","rates, shortterm rates, low rates, lower rates, shortterm, rates low, raise rates, rates think, raising rates, longerterm rates"
32,199,32_committee_perspectives_consensus_support committee,"['committee', 'perspectives', 'consensus', 'support committee', 'diverse', 'vote', 'diversity', 'think committee', 'supported', 'board']","['That’s going to be obviously a decision that the Committee has to make, and we will—at each meeting, we’ ll look at progress that’s been made since the last meeting, try to assess the outlook, try to determine whether there’s been a sufficient change to warrant a change in our policy stance.', 'But for now, I think the Committee is comfortable with the consensus statement that we put out.', 'I’m very comfortable with the consensus view that we enunciated today, and I think that the Committee broadly is comfortable—a to-1 vote in favor of this guidance.']","committee, perspectives, consensus, support committee, diverse, vote, diversity, think committee, supported, board"
33,193,33_price stability_price_stability_employment price,"['price stability', 'price', 'stability', 'employment price', 'restore price', 'restore', 'maximum employment', 'stable prices', 'maximum', 'employment stable']","['We have maximum employment and price stability, and we have to balance those.', 'No, that’s—you know, we, we have a mandate, and that’s maximum employment and price stability.', 'Our job is to use the tools we have to meet our mandate, which is maximum employment and price stability.']","price stability, price, stability, employment price, restore price, restore, maximum employment, stable prices, maximum, employment stable"
34,190,34_financial conditions_asset prices_conditions_financial,"['financial conditions', 'asset prices', 'conditions', 'financial', 'equity', 'asset', 'valuations', 'financial markets', 'broader financial', 'stock']","['And what matters for the broader economy is material changes in a broad range of financial conditions that are sustained for a period of time.', 'And when we look at financial conditions, what matters for the real economy is substantial changes in—or , material changes in financial conditions that are sustained over a period of time.', 'Just, again, broadly, more accommodative financial conditions—higher asset prices.']","financial conditions, asset prices, conditions, financial, equity, asset, valuations, financial markets, broader financial, stock"
35,188,35_progress_substantial progress_goal_substantial,"['progress', 'substantial progress', 'goal', 'substantial', 'making progress', 'goals', 'long way', 'progress think', 'good progress', 'lot progress']","['What we said was substantial further progress toward our goals.', 'But it’s about substantial further progress toward our goals.', 'What we’re saying is, substantial further progress toward our goals.']","progress, substantial progress, goal, substantial, making progress, goals, long way, progress think, good progress, lot progress"
36,165,36_decision_decisions_havent decisions_havent decision,"['decision', 'decisions', 'havent decisions', 'havent decision', 'make decisions', 'havent', 'political', 'didnt make', 'decisionmaking', 'dont make']","['We didn’t make any decision about going forward, including what would happen at the next meeting, including—we did not decide or really discuss anything about going to an every-other-meeting kind of an approach or, or really any other approach.', 'We’re not—we can run simulations of different potential policies, but we would never try to make policy decisions based on the outcome of an election that hasn’t happened yet.', 'And we didn’t make any decisions about future meetings today.']","decision, decisions, havent decisions, havent decision, make decisions, havent, political, didnt make, decisionmaking, dont make"
37,161,37_speed_fast_slowing_pace,"['speed', 'fast', 'slowing', 'pace', 'hurry', 'slow', 'slowdown', 'slower', 'slowed', 'moved']","['And, but we certainly have the freedom to either speed it up or slow it down if that becomes appropriate.', 'But, you know, what you said is broadly right, which is, having moved so quickly and having now so much restraint that’s still in the pipeline, we think that the appropriate thing to do now is to move to a slower pace.', 'We just want to keep moving at what we think is the right pace, and I do think it makes all the sense in the world to slow down as we now make these finely judged decisions, and so that’s what we did.']","speed, fast, slowing, pace, hurry, slow, slowdown, slower, slowed, moved"
38,161,38_moved_level_exceptionally_low level,"['moved', 'level', 'exceptionally', 'low level', 'low', 'year ago', 'low levels', 'high', 'tends', '2025']","['They had moved down and now have moved—they remain at low levels , but they have moved back up again.', 'As recently as a year ago, February of last year, we had those, those disparities quite low.', '“Exceptionally low”; you know, one of the reasons that language in the statement is sometimes a little vaguer than you would like is because we are trying to get a consensus among 17 or at least 10 people, and different members or participants in the FOMC might have somewhat different views of what “exceptionally low” means.']","moved, level, exceptionally, low level, low, year ago, low levels, high, tends, 2025"
39,155,39_balance sheet_sheet_balance_size balance,"['balance sheet', 'sheet', 'balance', 'size balance', 'size', 'run', 'balances', 'normalization', 'primarily', 'intend']","['We froze the balance sheet size, and then we shrank the balance sheet size.', 'We are shrinking the balance sheet.', 'And, because the size of the balance sheet is frozen, you have further shrinkage in reserves.']","balance sheet, sheet, balance, size balance, size, run, balances, normalization, primarily, intend"
40,153,40_december_september_report_reading,"['december', 'september', 'report', 'reading', 'weather', 'calendar', 'date', '12 months', 'months', 'january']","['And that’s why it always makes sense to look at a series, you know, in 6—in 3, 6, and 12 months of things rather than just one report.', 'The other thing is, in the second half of the year, you have some pretty low readings, so it might be harder to make progress as you move that 12-month window forward.', 'If you put them together, you get something in the middle, and I think you have to really be—as you do, I’m sure, realize there was a strike and there was weather, and that’s about 80,000 of the negative effect total on the February report.']","december, september, report, reading, weather, calendar, date, 12 months, months, january"
41,149,41_question_second question_second_answer question,"['question', 'second question', 'second', 'answer question', 'sorry', 'answer', 'melet', 'laughter', 'let melet', 'question asking']","['Sorry, your second question was again?', 'I should know better than to answer your second question. [Laughter]', 'But so—sorry, and your second question was?']","question, second question, second, answer question, sorry, answer, melet, laughter, let melet, question asking"
42,148,42_supply_demand_chains_supply chains,"['supply', 'demand', 'chains', 'supply chains', 'bottlenecks', 'supply chain', 'chain', 'supplyside', 'supply demand', 'goods']","['And, ultimately, supply chains get fixed, and demand settles down a little bit and maybe goes back to services a little bit.', 'We—you know, it’s supply chains, it’s shortages, and it’s demand revolving back towards services.', 'And, you know, I think, you know, the bottlenecks that we’re seeing in global supply chains around goods and, frankly, now at our own domestic ports, because demand is stronger than the capacity of those ports—those things are going to work themselves out.']","supply, demand, chains, supply chains, bottlenecks, supply chain, chain, supplyside, supply demand, goods"
43,143,43_dont know_thats want_dont dont_seeing,"['dont know', 'thats want', 'dont dont', 'seeing', 'happen', 'face', 'time dont', 'know dont', 'surprised', 'whatthats']","['That would be the thing that we’d really like to see but, you know, it doesn’t look like that’s coming anytime soon.', 'So it’s—it’s—again, it’s very, very hard to say when that will happen.', 'And if that happens—it feels like it’s going to happen—that’s a completely appropriate thing.']","dont know, thats want, dont dont, seeing, happen, face, time dont, know dont, surprised, whatthats"
44,139,44_fed_feds_fed know_new york,"['fed', 'feds', 'fed know', 'new york', 'independence', 'york', 'protect', 'election', 'fourth', 'president']","['It is extremely important—not for the people who work at the Fed at any given time, but for the people that we serve—that the Fed remain able to conduct monetary policy in a way that doesn’t get pulled into politics, trying to help or hurt any particular politician or political party.', 'So I would just say that we at the Fed, we’re deeply committed to carrying out our mission, and also that our independence from direct political control we see as an important institutional feature that has served both the economy and the country well.', 'I feel I’m very lucky that I’ve had a lot of Fed experience to draw on as I approach this role because it’s complicated, and now in many ways I feel the buck stops with me in terms of management of the FOMC and responsibility to assure that the Federal Reserve makes progress on its goals of getting the economy back on track and making progress on our financial stability and regulation objectives.']","fed, feds, fed know, new york, independence, york, protect, election, fourth, president"
45,139,45_financial stability_stability_financial_monitor,"['financial stability', 'stability', 'financial', 'monitor', 'crisis', 'threats', 'resilient', 'financial crisis', 'framework', 'financial sector']","['We, we, of course, have a financial stability framework.', 'Separately, we monitor financial stability very, very carefully.', 'But we think it’s not something that would threaten financial stability, but more be an amplifier.']","financial stability, stability, financial, monitor, crisis, threats, resilient, financial crisis, framework, financial sector"
46,133,46_markets_volatility_market participants_volatile,"['markets', 'volatility', 'market participants', 'volatile', 'sync', 'market operations', 'reaction', 'working', 'moves', 'market']","['I think, for the foreseeable future, we’re going to be looking at, if needed, doing the sorts of things that we did the last two days—these temporary open market operations .', 'That aggressiveness in the early stages of this process, where investors are still learning about the BOJ’s reaction function, it’s not all that surprising that there’s volatility.', 'I would say, you know, that’s—that’s something that happens when markets are as volatile as they are, when you’re having these big market movements while markets are trying to understand what’s going on.']","markets, volatility, market participants, volatile, sync, market operations, reaction, working, moves, market"
47,130,47_neutral_neutral rate_estimates neutral_estimates,"['neutral', 'neutral rate', 'estimates neutral', 'estimates', 'rate', 'range estimates', 'rate think', 'policy rate', 'estimate', 'range']","['I would say, though, that there’s a range of plausible estimates of what the neutral rate of interest is, and I think many of those who make such estimates have moved their estimate down over the course of many years, and that process continues.', 'And with a low neutral rate, that becomes more important.', 'But also, what is the neutral rate of interest?']","neutral, neutral rate, estimates neutral, estimates, rate, range estimates, rate think, policy rate, estimate, range"
