"date","title","speaker","source","doc_type","text","url","primary_topic"
"2015-07-13","The economic outlook","Christopher Waller","fed","speech","Household consumption remains resilient, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has deteriorated in recent months. The housing market shows signs of continued adjustment.

Our central projection is for GDP growth of 1.4% in 2025, with risks skewed to the downside. Potential output growth is estimated at around 1.5%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.","https://example.com/fed/20150713-10","economic_growth"
"2015-08-01","Price stability in a changing world","Philip Lane","ecb","speech","The persistence of inflationary pressures reflects a combination of supply-side constraints and robust domestic demand. While energy prices have remained volatile, services inflation remains elevated. The pass-through from producer prices to consumer prices continues to evolve, and we expect further easing in the coming months.

The persistence of inflationary pressures reflects a combination of supply-side constraints and robust domestic demand. While energy prices have stabilised, services inflation remains above target-consistent levels. The pass-through from producer prices to consumer prices continues to evolve, and we expect further easing in the coming months.","https://example.com/ecb/20150801-11","inflation_outlook"
"2015-08-19","Navigating the economic cycle","Committee","boe","minutes","Household consumption remains resilient, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has improved in recent months. The housing market shows signs of gradual recovery.

The economy grew by 2.8% in the latest quarter, slightly above market expectations. Business investment has picked up modestly, supported by infrastructure investment. The services sector continues to show resilience, while manufacturing output has shown tentative signs of recovery.","https://example.com/boe/20150819-12","economic_growth"
"2015-09-04","Price stability in a changing world","Michelle Bowman","fed","speech","Inflation has remained broadly stable over the past quarter, with headline CPI falling to 5.2%. Core inflation, which strips out volatile food and energy prices, has remained sticky. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.

Inflation has remained broadly stable over the past quarter, with headline CPI edging up to 3.9%. Core inflation, which strips out volatile food and energy prices, has remained sticky. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.","https://example.com/fed/20150904-13","inflation_outlook"
"2015-09-27","Global risks and domestic implications","Philip Lane","ecb","speech","Geopolitical risks have evolved since our previous assessment. The conflict in Eastern Europe continues to weigh on European growth. These developments pose risks to global supply chains, energy markets, and trade flows. The exchange rate has appreciated by 2.5% on a trade-weighted basis.

The global economic environment remains gradually loosening. Growth in major trading partners has remained resilient, with divergent paths across regions. The United States continues to grow above trend, while sub-Saharan Africa faces fiscal consolidation needs.

The banking sector continues to exhibit strong capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 13.8%, well above regulatory minima. Credit growth has tightened to 1.8%, reflecting both supply and demand factors.","https://example.com/ecb/20150927-14","global_risks"
"2015-10-15","The changing nature of work","Dave Ramsden","boe","speech","The labour market remains uncertain, with the unemployment rate at 4.7%. Employment has remained broadly flat by 100k over the quarter. Vacancies have declined but remain elevated by historical standards.

Labour force participation has recovered, partly reflecting early retirement trends. Skills shortages persist in construction and engineering, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.

The transmission of our previous rate increases to the real economy is still working through. Mortgage rates have stabilised, and credit conditions have remained tight. The full impact of cumulative tightening is expected to materialise over the coming quarters.","https://example.com/boe/20151015-15","labour_market"
"2015-10-31","The international economic outlook","Committee","fed","minutes","Geopolitical risks have intensified since our previous assessment. The conflict in Eastern Europe continues to weigh on European growth. These developments pose risks to global supply chains, energy markets, and trade flows. The exchange rate has depreciated by 1.2% on a trade-weighted basis.

The global economic environment remains uncertain. Growth in major trading partners has remained resilient, with divergent paths across regions. The euro area continues to face headwinds, while Latin America faces commodity headwinds.

Commodity prices, particularly oil, have fallen. This reflects weakening global demand. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.","https://example.com/fed/20151031-16","global_risks"
"2015-11-19","Inflation dynamics and the path ahead","Committee","ecb","minutes","Inflation has remained broadly stable over the past quarter, with headline CPI edging up to 2.8%. Core inflation, which strips out volatile food and energy prices, has remained sticky. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.

Our projections indicate that inflation will remain elevated before easing over the medium term, converging towards our 2% target by the end of 2026. However, risks to this forecast are tilted to the downside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

The banking sector continues to exhibit adequate capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 13.8%, well above regulatory minima. Credit growth has remained tight to 3.2%, reflecting both supply and demand factors.","https://example.com/ecb/20151119-17","inflation_outlook"
"2015-12-08","Navigating global uncertainty","Committee","boe","minutes","Commodity prices, particularly natural gas, have fallen. This reflects supply disruptions. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.

Geopolitical risks have remained elevated since our previous assessment. Tensions in the Middle East continue to affect energy markets. These developments pose risks to global supply chains, energy markets, and trade flows. The exchange rate has depreciated by 0.8% on a trade-weighted basis.

Geopolitical risks have remained elevated since our previous assessment. Trade policy uncertainty has risen following recent tariff announcements. These developments pose risks to global supply chains, energy markets, and trade flows. The exchange rate has remained broadly stable by 2.5% on a trade-weighted basis.","https://example.com/boe/20151208-18","global_risks"
"2015-12-29","Global risks and domestic implications","Michelle Bowman","fed","speech","Commodity prices, particularly agricultural commodities, have remained volatile. This reflects geopolitical risk premia. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.

The global economic environment remains gradually loosening. Growth in major trading partners has diverged, with divergent paths across regions. China continues to grow above trend, while emerging Asia faces capital outflow pressures.

Financial conditions have risen since our last assessment. Equity markets have risen, while corporate bond spreads have narrowed. Overall, financial conditions remain restrictive for the current stage of the cycle.","https://example.com/fed/20151229-19","global_risks"
"2016-01-17","Navigating global uncertainty","Committee","ecb","minutes","Geopolitical risks have intensified since our previous assessment. Tensions in the Middle East continue to affect energy markets. These developments pose risks to global supply chains, energy markets, and trade flows. The exchange rate has remained broadly stable by 1.2% on a trade-weighted basis.

The global economic environment remains uncertain. Growth in major trading partners has slowed, with divergent paths across regions. The United States continues to recover gradually, while sub-Saharan Africa faces fiscal consolidation needs.

The labour market remains gradually loosening, with the unemployment rate at 3.9%. Employment has increased by 75k over the quarter. Vacancies have declined but remain above pre-pandemic levels by historical standards.","https://example.com/ecb/20160117-20","global_risks"
"2016-02-08","Employment, wages, and inflation","Silvana Tenreyro","boe","speech","Labour force participation has remained below pre-pandemic levels, partly reflecting early retirement trends. Skills shortages persist in construction and engineering, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.

The labour market remains resilient, with the unemployment rate at 3.9%. Employment has declined by 75k over the quarter. Vacancies have continued to fall but remain elevated by historical standards.

Wage growth has remained elevated to 5.2% in annual terms. Private sector regular pay growth of 4.9% continues to exceed rates consistent with the inflation target, given current productivity trends. We are monitoring closely for signs of a wage-price spiral.

The transmission of our previous rate increases to the real economy is still working through. Mortgage rates have stabilised, and credit conditions have remained tight. The full impact of cumulative tightening is expected to materialise over the coming quarters.","https://example.com/boe/20160208-21","labour_market"
"2016-02-27","Monetary policy in the current environment","Philip Jefferson","fed","speech","Looking at the path of interest rates, market pricing suggests expectations of a gradual easing over the coming year. Our forward guidance remains data-dependent: we will assess the evolving outlook at each meeting and adjust the policy stance as warranted by incoming information on inflation and economic activity.

Looking at the path of interest rates, market pricing suggests expectations of a gradual easing over the coming year. Our forward guidance remains data-dependent: we will assess the evolving outlook at each meeting and adjust the policy stance as warranted by incoming information on inflation and economic activity.","https://example.com/fed/20160227-22","interest_rate_policy"
"2016-03-13","Growth prospects and structural change","Committee","ecb","minutes","The economy grew by 3.9% in the latest quarter, slightly above market expectations. Business investment has remained subdued, supported by infrastructure investment. The services sector continues to moderate, while manufacturing output has contracted.

Our central projection is for GDP growth of 0.8% in 2026, with risks skewed to the upside. Potential output growth is estimated at around 1.2%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.

Household consumption remains subdued, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has deteriorated in recent months. The housing market shows signs of continued adjustment.

Our projections indicate that inflation will converge over the medium term, converging towards our 2% target by mid-2026. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.","https://example.com/ecb/20160313-23","economic_growth"
"2016-04-05","Inflation dynamics and the path ahead","Committee","boe","minutes","Our projections indicate that inflation will decline gradually over the medium term, converging towards our 2% target by late 2025. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

The persistence of inflationary pressures reflects a combination of supply-side constraints and robust domestic demand. While energy prices have remained volatile, services inflation remains above target-consistent levels. The pass-through from producer prices to consumer prices continues to evolve, and we expect further easing in the coming months.

Inflation has risen over the past quarter, with headline CPI edging down to 3.4%. Core inflation, which strips out volatile food and energy prices, has shown signs of easing. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.

Financial conditions have risen since our last assessment. Equity markets have declined, while corporate bond spreads have narrowed. Overall, financial conditions remain neutral for the current stage of the cycle.","https://example.com/boe/20160405-24","inflation_outlook"
"2016-04-22","The economic outlook","Michelle Bowman","fed","speech","Household consumption remains resilient, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has deteriorated in recent months. The housing market shows signs of stabilisation.

Our central projection is for GDP growth of 1.2% in 2025, with risks skewed to the downside. Potential output growth is estimated at around 1.0%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.

Our central projection is for GDP growth of 0.5% in 2025, with risks skewed to the upside. Potential output growth is estimated at around 1.0%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.

Financial conditions have risen since our last assessment. Equity markets have remained range-bound, while corporate bond spreads have widened. Overall, financial conditions remain accommodative for the current stage of the cycle.","https://example.com/fed/20160422-25","economic_growth"
"2016-05-15","Macroprudential policy and financial conditions","Fabio Panetta","ecb","speech","The banking sector continues to exhibit robust capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 13.8%, well above regulatory minima. Credit growth has shown tentative loosening to 3.2%, reflecting both supply and demand factors.

Risks from non-bank financial institutions warrant continued monitoring. Leverage in certain hedge fund strategies remains elevated. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.

The economy grew by 4.7% in the latest quarter, broadly in line with market expectations. Business investment has recovered, supported by improved business sentiment. The services sector continues to show resilience, while manufacturing output has shown tentative signs of recovery.","https://example.com/ecb/20160515-26","financial_stability"
"2016-06-03","Navigating global uncertainty","Committee","boe","minutes","Commodity prices, particularly agricultural commodities, have risen sharply. This reflects supply disruptions. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.

Commodity prices, particularly natural gas, have remained volatile. This reflects supply disruptions. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.","https://example.com/boe/20160603-27","global_risks"
"2016-06-22","Macroprudential policy and financial conditions","Jerome Powell","fed","speech","Risks from non-bank financial institutions warrant continued monitoring. Growth in private credit markets warrants close monitoring. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.

The banking sector continues to exhibit robust capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 15.1%, well above regulatory minima. Credit growth has remained tight to 2.5%, reflecting both supply and demand factors.

The banking sector continues to exhibit adequate capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 13.8%, well above regulatory minima. Credit growth has remained tight to 3.2%, reflecting both supply and demand factors.

Inflation has moderated over the past quarter, with headline CPI falling to 2.8%. Core inflation, which strips out volatile food and energy prices, has edged higher. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.","https://example.com/fed/20160622-28","financial_stability"
"2016-07-10","The changing nature of work","Committee","ecb","minutes","The labour market remains tight, with the unemployment rate at 4.7%. Employment has remained broadly flat by 100k over the quarter. Vacancies have stabilised but remain near historical norms by historical standards.

Labour force participation has stabilised, partly reflecting early retirement trends. Skills shortages persist in construction and engineering, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.

The labour market remains uncertain, with the unemployment rate at 3.9%. Employment has remained broadly flat by 100k over the quarter. Vacancies have stabilised but remain elevated by historical standards.

Household consumption remains subdued, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has deteriorated in recent months. The housing market shows signs of gradual recovery.","https://example.com/ecb/20160710-29","labour_market"
"2016-07-28","Macroprudential policy and financial conditions","Dave Ramsden","boe","speech","Financial conditions have moderated since our last assessment. Equity markets have declined, while corporate bond spreads have remained stable. Overall, financial conditions remain accommodative for the current stage of the cycle.

Risks from non-bank financial institutions warrant continued monitoring. Liquidity mismatches in open-ended funds require attention. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.","https://example.com/boe/20160728-30","financial_stability"
"2016-08-15","Employment, wages, and inflation","Committee","fed","minutes","The labour market remains uncertain, with the unemployment rate at 2.8%. Employment has increased by 150k over the quarter. Vacancies have continued to fall but remain near historical norms by historical standards.

Wage growth has remained elevated to 5.5% in annual terms. Private sector regular pay growth of 4.9% continues to exceed rates consistent with the inflation target, given current productivity trends. We are monitoring closely for signs of a wage-price spiral.","https://example.com/fed/20160815-31","labour_market"
"2016-09-05","The economic outlook","Fabio Panetta","ecb","speech","Household consumption remains resilient, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has improved in recent months. The housing market shows signs of continued adjustment.

The economy grew by 4.7% in the latest quarter, broadly in line with market expectations. Business investment has recovered, supported by infrastructure investment. The services sector continues to moderate, while manufacturing output has contracted.

The economy grew by 3.4% in the latest quarter, slightly below market expectations. Business investment has remained subdued, supported by public sector spending. The services sector continues to moderate, while manufacturing output has shown tentative signs of recovery.

Labour force participation has stabilised, partly reflecting early retirement trends. Skills shortages persist in healthcare and technology, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.","https://example.com/ecb/20160905-32","economic_growth"
"2016-09-25","Growth prospects and structural change","Sarah Breeden","boe","speech","Our central projection is for GDP growth of 1.2% in 2025, with risks skewed to the downside. Potential output growth is estimated at around 1.0%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.

The economy grew by 6.1% in the latest quarter, slightly above market expectations. Business investment has recovered, supported by improved business sentiment. The services sector continues to moderate, while manufacturing output has stabilised.

Inflation has risen over the past quarter, with headline CPI edging up to 5.2%. Core inflation, which strips out volatile food and energy prices, has shown signs of easing. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.","https://example.com/boe/20160925-33","economic_growth"
"2016-10-12","The inflation outlook: challenges and opportunities","Christopher Waller","fed","speech","Inflation has moderated over the past quarter, with headline CPI edging down to 2.1%. Core inflation, which strips out volatile food and energy prices, has edged higher. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.

Our projections indicate that inflation will converge over the medium term, converging towards our 2% target by late 2025. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

Our projections indicate that inflation will remain elevated before easing over the medium term, converging towards our 2% target by late 2025. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

Looking at the path of interest rates, market pricing suggests expectations of rates remaining at current levels for an extended period. Our forward guidance remains data-dependent: we will assess the evolving outlook at each meeting and adjust the policy stance as warranted by incoming information on inflation and economic activity.","https://example.com/fed/20161012-34","inflation_outlook"
"2016-11-04","Financial stability and resilience","Frank Elderson","ecb","speech","The banking sector continues to exhibit strong capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 15.1%, well above regulatory minima. Credit growth has remained tight to 3.2%, reflecting both supply and demand factors.

Risks from non-bank financial institutions warrant continued monitoring. Leverage in certain hedge fund strategies remains elevated. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.

Risks from non-bank financial institutions warrant continued monitoring. Growth in private credit markets warrants close monitoring. Our macroprudential framework provides tools to address emerging vulnerabilities, and we stand ready to adjust countercyclical buffers if conditions warrant.

The labour market remains gradually loosening, with the unemployment rate at 2.8%. Employment has increased by 150k over the quarter. Vacancies have continued to fall but remain elevated by historical standards.","https://example.com/ecb/20161104-35","financial_stability"
"2016-11-23","The stability of the financial system","Ben Broadbent","boe","speech","The banking sector continues to exhibit adequate capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 13.8%, well above regulatory minima. Credit growth has shown tentative loosening to 1.8%, reflecting both supply and demand factors.

The banking sector continues to exhibit robust capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 14.2%, well above regulatory minima. Credit growth has remained tight to 3.2%, reflecting both supply and demand factors.","https://example.com/boe/20161123-36","financial_stability"
"2016-12-07","Price stability in a changing world","Committee","fed","minutes","Our projections indicate that inflation will decline gradually over the medium term, converging towards our 2% target by late 2025. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

Our projections indicate that inflation will decline gradually over the medium term, converging towards our 2% target by late 2025. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

The global economic environment remains gradually loosening. Growth in major trading partners has remained resilient, with divergent paths across regions. The euro area continues to recover gradually, while sub-Saharan Africa faces fiscal consolidation needs.","https://example.com/fed/20161207-37","inflation_outlook"
"2017-01-01","Navigating global uncertainty","Committee","ecb","minutes","Commodity prices, particularly agricultural commodities, have fallen. This reflects seasonal factors. The impact on domestic inflation will depend on the persistence of these price movements and the degree of pass-through to consumer prices.

The global economic environment remains tight. Growth in major trading partners has remained resilient, with divergent paths across regions. The euro area continues to face headwinds, while sub-Saharan Africa faces fiscal consolidation needs.

The global economic environment remains tight. Growth in major trading partners has slowed, with divergent paths across regions. The euro area continues to recover gradually, while sub-Saharan Africa faces capital outflow pressures.

Our central projection is for GDP growth of 1.4% in 2025, with risks skewed to the upside. Potential output growth is estimated at around 1.2%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.","https://example.com/ecb/20170101-38","global_risks"
"2017-01-20","Growth prospects and structural change","Committee","boe","minutes","The economy grew by 5.2% in the latest quarter, slightly above market expectations. Business investment has remained subdued, supported by public sector spending. The services sector continues to show resilience, while manufacturing output has shown tentative signs of recovery.

The economy grew by 3.9% in the latest quarter, broadly in line with market expectations. Business investment has remained subdued, supported by public sector spending. The services sector continues to moderate, while manufacturing output has stabilised.

The banking sector continues to exhibit strong capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 15.1%, well above regulatory minima. Credit growth has shown tentative loosening to 2.5%, reflecting both supply and demand factors.","https://example.com/boe/20170120-39","economic_growth"
"2017-02-03","Navigating the economic cycle","Jerome Powell","fed","speech","Our central projection is for GDP growth of 0.5% in 2026, with risks skewed to the downside. Potential output growth is estimated at around 1.0%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.

The economy grew by 6.1% in the latest quarter, slightly above market expectations. Business investment has recovered, supported by public sector spending. The services sector continues to moderate, while manufacturing output has stabilised.

The economy grew by 3.4% in the latest quarter, slightly above market expectations. Business investment has recovered, supported by improved business sentiment. The services sector continues to show resilience, while manufacturing output has stabilised.","https://example.com/fed/20170203-40","economic_growth"
"2017-02-26","Price stability in a changing world","Fabio Panetta","ecb","speech","Our projections indicate that inflation will decline gradually over the medium term, converging towards our 2% target by late 2025. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.

Inflation has moderated over the past quarter, with headline CPI rising to 2.8%. Core inflation, which strips out volatile food and energy prices, has remained sticky. We continue to monitor inflation expectations closely, as their anchoring is critical for the credibility of our monetary policy framework.","https://example.com/ecb/20170226-41","inflation_outlook"
"2017-03-15","Macroprudential policy and financial conditions","Dave Ramsden","boe","speech","The banking sector continues to exhibit robust capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 15.1%, well above regulatory minima. Credit growth has shown tentative loosening to 2.5%, reflecting both supply and demand factors.

The banking sector continues to exhibit robust capital and liquidity positions. Aggregate Common Equity Tier 1 ratios stand at 13.8%, well above regulatory minima. Credit growth has shown tentative loosening to 3.2%, reflecting both supply and demand factors.

Financial conditions have risen since our last assessment. Equity markets have declined, while corporate bond spreads have narrowed. Overall, financial conditions remain neutral for the current stage of the cycle.

Labour force participation has remained below pre-pandemic levels, partly reflecting long-term sickness. Skills shortages persist in construction and engineering, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.","https://example.com/boe/20170315-42","financial_stability"
"2017-04-03","The path of interest rates","Committee","fed","minutes","The transmission of our previous rate adjustments to the real economy is still working through. Mortgage rates have stabilised, and credit conditions have remained tight. The full impact of cumulative tightening is expected to materialise over the coming quarters.

The Committee voted to reduce the Bank Rate at 3.4%. This decision reflects our assessment that the current monetary policy stance is balanced. We will continue to set policy to ensure inflation returns sustainably to target, while being mindful of the impact on economic activity and employment.

The transmission of our previous rate increases to the real economy is still working through. Mortgage rates have stabilised, and credit conditions have tightened. The full impact of cumulative tightening is expected to materialise over the coming quarters.

Wage growth has accelerated to 7.0% in annual terms. Private sector regular pay growth of 4.9% continues to exceed rates consistent with the inflation target, given current productivity trends. We are monitoring closely for signs of a wage-price spiral.","https://example.com/fed/20170403-43","interest_rate_policy"
"2017-04-22","Labour market dynamics and wages","Fabio Panetta","ecb","speech","Labour force participation has remained below pre-pandemic levels, partly reflecting long-term sickness. Skills shortages persist in construction and engineering, contributing to wage pressures in these areas. The balance of demand and supply in the labour market remains a key determinant of the inflation outlook.

The labour market remains uncertain, with the unemployment rate at 2.1%. Employment has declined by 100k over the quarter. Vacancies have stabilised but remain near historical norms by historical standards.","https://example.com/ecb/20170422-44","labour_market"
"2017-05-10","Growth prospects and structural change","Committee","boe","minutes","Household consumption remains mixed, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has remained flat in recent months. The housing market shows signs of gradual recovery.

Household consumption remains mixed, reflecting the balance between real income growth and the drag from higher borrowing costs. Consumer confidence has remained flat in recent months. The housing market shows signs of gradual recovery.

Our central projection is for GDP growth of 0.5% in 2025, with risks skewed to the upside. Potential output growth is estimated at around 1.5%, reflecting structural factors including demographics, capital deepening, and total factor productivity trends.

Our projections indicate that inflation will remain elevated before easing over the medium term, converging towards our 2% target by the end of 2026. However, risks to this forecast are tilted to the upside, reflecting uncertainty around global commodity markets and domestic wage dynamics.","https://example.com/boe/20170510-45","economic_growth"
